scenario_id,basis,outer_id,repeat,fold,model_1,model_2,spearman_rank_correlation,kendall_rank_correlation,top3_overlap_count,top3_overlap_features
A_BMP_VS_all_features,outer_fold_heldout,13,3,3,ExtraTrees,RandomForest,0.9,0.7454545454545454,3,DM; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,13,3,3,GradientBoosting,RandomForest,0.8181818181818182,0.6727272727272727,3,DM; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,14,3,4,ExtraTrees,GradientBoosting,0.6090909090909091,0.45454545454545453,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,14,3,4,ExtraTrees,RandomForest,0.9181818181818183,0.7454545454545454,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,14,3,4,GradientBoosting,RandomForest,0.8181818181818182,0.6363636363636364,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,15,3,5,ExtraTrees,GradientBoosting,0.790909090909091,0.6000000000000001,1,DM
A_BMP_VS_all_features,outer_fold_heldout,15,3,5,ExtraTrees,RandomForest,0.7000000000000001,0.5272727272727272,2,Carbon; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,15,3,5,GradientBoosting,RandomForest,0.7545454545454545,0.5636363636363636,1,Lignin
A_BMP_VS_all_features,outer_fold_heldout,16,4,1,ExtraTrees,GradientBoosting,0.8909090909090911,0.7454545454545454,2,DM; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,16,4,1,ExtraTrees,RandomForest,0.8636363636363636,0.7090909090909091,2,Hydrogen; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,16,4,1,GradientBoosting,RandomForest,0.8909090909090911,0.7454545454545454,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,17,4,2,ExtraTrees,GradientBoosting,0.8636363636363636,0.7454545454545454,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,17,4,2,ExtraTrees,RandomForest,0.8636363636363636,0.7090909090909091,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,17,4,2,GradientBoosting,RandomForest,0.8909090909090911,0.7454545454545454,1,Lignin
A_BMP_VS_all_features,outer_fold_heldout,18,4,3,ExtraTrees,GradientBoosting,0.881818181818182,0.7454545454545454,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,18,4,3,ExtraTrees,RandomForest,0.9272727272727275,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,18,4,3,GradientBoosting,RandomForest,0.8272727272727273,0.6727272727272727,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,19,4,4,ExtraTrees,GradientBoosting,0.8454545454545455,0.6363636363636364,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,19,4,4,ExtraTrees,RandomForest,0.8181818181818182,0.6727272727272727,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,19,4,4,GradientBoosting,RandomForest,0.9727272727272729,0.8909090909090909,3,Hydrogen; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,20,4,5,ExtraTrees,GradientBoosting,0.790909090909091,0.6000000000000001,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,20,4,5,ExtraTrees,RandomForest,0.9454545454545454,0.8181818181818182,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,20,4,5,GradientBoosting,RandomForest,0.9181818181818183,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,21,5,1,ExtraTrees,GradientBoosting,0.8181818181818182,0.6727272727272727,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,21,5,1,ExtraTrees,RandomForest,0.8636363636363636,0.6727272727272727,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,21,5,1,GradientBoosting,RandomForest,0.8727272727272729,0.7090909090909091,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,22,5,2,ExtraTrees,GradientBoosting,0.9,0.7818181818181819,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,22,5,2,ExtraTrees,RandomForest,0.9454545454545454,0.8545454545454545,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,22,5,2,GradientBoosting,RandomForest,0.9363636363636365,0.8545454545454545,3,Hydrogen; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,23,5,3,ExtraTrees,GradientBoosting,0.8727272727272729,0.6727272727272727,2,DM; VS
A_BMP_VS_all_features,outer_fold_heldout,23,5,3,ExtraTrees,RandomForest,0.8000000000000002,0.6363636363636364,1,VS
A_BMP_VS_all_features,outer_fold_heldout,23,5,3,GradientBoosting,RandomForest,0.7363636363636363,0.5272727272727272,2,Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,24,5,4,ExtraTrees,GradientBoosting,0.9636363636363637,0.8909090909090909,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,24,5,4,ExtraTrees,RandomForest,0.8909090909090911,0.7454545454545454,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,24,5,4,GradientBoosting,RandomForest,0.8909090909090911,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,25,5,5,ExtraTrees,GradientBoosting,0.7272727272727273,0.6000000000000001,2,DM; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,25,5,5,ExtraTrees,RandomForest,0.8181818181818182,0.6363636363636364,1,DM
A_BMP_VS_all_features,outer_fold_heldout,25,5,5,GradientBoosting,RandomForest,0.8363636363636365,0.6727272727272727,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,26,6,1,ExtraTrees,GradientBoosting,0.7727272727272727,0.6000000000000001,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,26,6,1,ExtraTrees,RandomForest,0.9,0.7090909090909091,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,26,6,1,GradientBoosting,RandomForest,0.8090909090909091,0.6000000000000001,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,27,6,2,ExtraTrees,GradientBoosting,0.9454545454545454,0.8909090909090909,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,27,6,2,ExtraTrees,RandomForest,0.9,0.7818181818181819,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,27,6,2,GradientBoosting,RandomForest,0.9181818181818183,0.8181818181818182,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,28,6,3,ExtraTrees,GradientBoosting,0.9454545454545454,0.8545454545454545,3,DM; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,28,6,3,ExtraTrees,RandomForest,0.9363636363636365,0.8545454545454545,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,28,6,3,GradientBoosting,RandomForest,0.9454545454545454,0.8545454545454545,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,29,6,4,ExtraTrees,GradientBoosting,0.9090909090909091,0.7818181818181819,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,29,6,4,ExtraTrees,RandomForest,0.9181818181818183,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,29,6,4,GradientBoosting,RandomForest,0.9545454545454546,0.8545454545454545,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,30,6,5,ExtraTrees,GradientBoosting,0.881818181818182,0.7818181818181819,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,30,6,5,ExtraTrees,RandomForest,0.9636363636363637,0.8909090909090909,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,30,6,5,GradientBoosting,RandomForest,0.9363636363636365,0.8181818181818182,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,31,7,1,ExtraTrees,GradientBoosting,0.9545454545454546,0.8545454545454545,3,DM; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,31,7,1,ExtraTrees,RandomForest,0.9454545454545454,0.8909090909090909,3,DM; Lignin; VS
