scenario_id,model,basis,feature,mean_abs_shap,rank
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Cellulose,3.062104687870928,9
C_BMP_DM_all_features,RandomForest,full_data_apparent,Lignin,16.499715224869693,1
C_BMP_DM_all_features,RandomForest,full_data_apparent,Oxygen,10.42278920401095,2
C_BMP_DM_all_features,RandomForest,full_data_apparent,Hydrogen,9.266755237998423,3
C_BMP_DM_all_features,RandomForest,full_data_apparent,DM,7.377269747268672,4
C_BMP_DM_all_features,RandomForest,full_data_apparent,Carbon,6.252656708150974,5
C_BMP_DM_all_features,RandomForest,full_data_apparent,VS,5.5248542748435545,6
C_BMP_DM_all_features,RandomForest,full_data_apparent,Hemicelluloses,3.615761042631127,7
C_BMP_DM_all_features,RandomForest,full_data_apparent,C/N,2.525357057910206,8
C_BMP_DM_all_features,RandomForest,full_data_apparent,Nitrogen,2.2405296832961152,9
C_BMP_DM_all_features,RandomForest,full_data_apparent,Cellulose,2.049095042118654,10
C_BMP_DM_all_features,RandomForest,full_data_apparent,Sulfur,1.5892858436089352,11
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Lignin,17.073262425484113,1
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,DM,13.71888033815036,2
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Oxygen,12.898438423004622,3
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Hydrogen,11.474179554013457,4
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Carbon,5.774709808291324,5
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,VS,5.4697449561529545,6
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,C/N,3.0727533955756026,7
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Cellulose,2.8595239742904703,8
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Nitrogen,2.44262783563897,9
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Hemicelluloses,1.7996012978824765,10
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Sulfur,1.1964111253118792,11
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Lignin,11.974575934329438,1
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Hydrogen,11.876168082571692,2
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Oxygen,11.51644334749785,3
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,DM,10.450435267544325,4
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Carbon,8.720965848108802,5
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,VS,5.595455587876022,6
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Hemicelluloses,3.0985864543874224,7
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Cellulose,3.021618826343437,8
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Sulfur,2.9562337080405436,9
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,C/N,2.5333295486106944,10
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Nitrogen,1.7711635294824883,11
