model,n_oof_predictions,mean_abs_error_two_stage,mean_abs_error_direct,mean_abs_error_delta_two_stage_minus_direct,median_abs_error_delta_two_stage_minus_direct,two_stage_better_abs_error_rate,mean_squared_error_delta_two_stage_minus_direct
RF_nested_gridsearch,1270,32.40238455811649,33.54684620220166,-1.1444616440851672,-0.43853365174402725,0.5181102362204725,-254.19962777549074
Mean_baseline,1270,42.43978137124968,53.5537213702102,-11.113939998960523,-8.187415987186924,0.7283464566929134,-1558.594012907851
LinearRegression,1270,38.6399552562654,39.576388204592945,-0.9364329483275444,-0.19436557585774494,0.5244094488188976,-109.66511025110454
Ridge_alpha_1,1270,38.378238254698516,38.78865135169517,-0.4104130969966657,-0.03722676618835408,0.5062992125984253,-51.6038823029601
RF_fixed_selected_params,1270,32.35355226771653,33.54086664566929,-1.18731437795276,-0.3993600000001436,0.515748031496063,-227.1517206743212
GradientBoosting_fixed,1270,32.55995620625794,33.3642607711161,-0.8043045648581606,-0.4782858185182022,0.5283464566929134,-190.45786746129298
ExtraTrees_fixed,1270,32.718400881889764,33.42597474803151,-0.7075738661417315,0.4366649999997776,0.4874015748031496,-223.47925480684967
