scenario_id,model,BMP_range,range_min_observed,range_max_observed,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
A_BMP_VS_all_features,ExtraTrees_fixed,high_observed_BMP,305.5,461.2,42.0,-0.8835248783318921,53.365380041511976,40.27793095238098,10.923578705305138,15.372216053931641,34.274489429359015,0.7374745480190787,-36.16861190476192,35.58964999999998
A_BMP_VS_all_features,ExtraTrees_fixed,low_observed_BMP,63.1,263.7,43.0,-1.064014901965745,57.79747279641492,45.5403372093023,27.372113079294262,27.229802787805994,28.812299499708338,0.7042926698013083,32.60541162790694,37.62049999999988
A_BMP_VS_all_features,ExtraTrees_fixed,mid_observed_BMP,263.8,305.3,42.0,-7.205114724816616,33.016839351335626,24.376280952380956,8.758540209459825,11.653687635038162,79.55864903936295,0.3533380337433611,6.6240571428571196,19.982149999999848
A_BMP_VS_all_features,GradientBoosting_fixed,high_observed_BMP,305.5,461.2,42.0,-0.7062709169110037,50.79230481103535,39.501637132588215,10.830369955804493,14.631026384990124,32.621904181782504,0.7748340948967893,-35.18140785664183,29.285750939781593
A_BMP_VS_all_features,GradientBoosting_fixed,low_observed_BMP,63.1,263.7,43.0,-0.9907736747412244,56.762743711042276,44.78754268512746,26.867886922744532,26.742316612887084,28.296482408296246,0.7171312336622797,30.154598234934966,40.28960205149917
A_BMP_VS_all_features,GradientBoosting_fixed,mid_observed_BMP,263.8,305.3,42.0,-6.924138051319016,32.44659920627987,24.69873807300823,8.86150162838905,11.452414567779233,78.18457640067439,0.3595478534638985,7.162505463346409,20.662617438676534
A_BMP_VS_all_features,LinearRegression,high_observed_BMP,305.5,461.2,42.0,-1.5140208497927858,61.65358910669216,48.328295193370195,13.170222308123309,17.75968411564124,39.59768086492753,0.638334444047939,-43.075135461895606,37.84253134216979
A_BMP_VS_all_features,LinearRegression,low_observed_BMP,63.1,263.7,43.0,-1.8667337381450468,68.11552586090181,58.11555308458598,31.155702859619,32.090889899516576,33.95589524471676,0.5976073135907612,40.12921165831816,55.874685152492134
A_BMP_VS_all_features,LinearRegression,mid_observed_BMP,263.8,305.3,42.0,-6.648419846569982,31.877116349869535,24.459897268967985,8.759650213445227,11.251408794588928,76.8123285539025,0.3659711552569311,-0.30507772380571146,20.93630687541065
A_BMP_VS_all_features,Mean_baseline,high_observed_BMP,305.5,461.2,42.0,-3.008581889043586,77.8519161353235,67.29845748860599,18.45109184922697,22.42570884183387,50.00123065852505,0.5055188295888804,-67.29845748860599,53.36208454668994
A_BMP_VS_all_features,Mean_baseline,low_observed_BMP,63.1,263.7,43.0,-2.9171352190332214,79.6226663365203,68.56455156596373,40.923293356098,37.5121851680202,39.692256399062956,0.5112405587061445,68.56455156596373,62.29301009512716
A_BMP_VS_all_features,Mean_baseline,mid_observed_BMP,263.8,305.3,42.0,-0.10563231466459166,12.11988584905598,9.991145339323845,3.49366035663719,4.277858408984991,29.20454421459272,0.9625589912408321,-2.9644388283366077,8.727102989710744
A_BMP_VS_all_features,RF_fixed_selected_params,high_observed_BMP,305.5,461.2,42.0,-0.9341418411948621,54.07768431345516,41.19907142857142,11.182787140398078,15.577399548473075,34.731974510889636,0.7277606285406026,-39.201652380952375,34.24369999999996
A_BMP_VS_all_features,RF_fixed_selected_params,low_observed_BMP,63.1,263.7,43.0,-1.0290265315426579,57.30549891222138,45.53544651162792,27.688452737474567,26.998021860454237,28.567048311177164,0.7103390982758591,35.972944186046526,40.358799999999974
A_BMP_VS_all_features,RF_fixed_selected_params,mid_observed_BMP,263.8,305.3,42.0,-5.36631055795456,29.08285766935895,22.166452380952386,7.947036879299831,10.265141832822735,70.07917510688904,0.4011333834333793,6.103176190476217,16.010299999999972
A_BMP_VS_all_features,RF_nested_gridsearch,high_observed_BMP,305.5,461.2,42.0,-0.979751706052959,54.71158406513332,42.050154477981884,11.427101907187353,15.759998153256745,35.1391034458146,0.7193286430736158,-40.366614284469755,33.313021494056215
A_BMP_VS_all_features,RF_nested_gridsearch,low_observed_BMP,63.1,263.7,43.0,-1.027848815766577,57.288865471201646,45.419216472186825,27.60524909397231,26.99018543964315,28.55875646620222,0.7105453405080625,36.290204479449116,43.16914018261642
A_BMP_VS_all_features,RF_nested_gridsearch,mid_observed_BMP,263.8,305.3,42.0,-5.059670158158253,28.3738102651673,21.868299288370288,7.835743077776868,10.01487508624059,68.37062714498144,0.4111575071446462,5.620114708773093,14.391933016637637
A_BMP_VS_all_features,Ridge_alpha_1,high_observed_BMP,305.5,461.2,42.0,-1.5173687049534945,61.69462667712784,48.505102315288944,13.25741808964124,17.771505232600866,39.6240376860166,0.6379098415157569,-42.839792747260546,36.51387430916964
