comparison_method,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,2,1,2,26,0.14347265705502943,52.70189056881551,41.17312261995429,16.88488605068428,20.335337827108685,24.45517975017425,1.1019098211749534,-12.558304645849185,32.237069306930664
direct_BMPDM_all_features,Mean_baseline,2,1,2,26,-0.019208539458886564,57.48931130129322,45.956955064737244,19.280550314040244,22.18259258143896,26.67667945898602,1.0101483127518196,-7.892284843868972,33.28750000000001
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,2,1,2,26,0.22747683525700868,50.050835851286394,39.333634150993355,16.4501526112023,19.312412601898565,23.225014779904967,1.1602749449542487,-13.858600531466106,32.21264170039315
direct_BMPDM_all_features,LinearRegression,2,1,2,26,0.24711102775676175,49.410704612444675,39.104451359779326,16.478508227063166,19.065414157344957,22.927975634997345,1.175306672263871,-12.923964609991506,35.65466696890313
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,2,1,2,26,0.3160073990526524,47.09570267525837,36.68030166661252,15.27130420343385,18.172156895508692,21.853748735642206,1.233079187982343,-12.538932930053862,28.95170647828391
direct_BMPDM_all_features,Ridge_alpha_1,2,1,2,26,0.3050484755694727,47.471486922173334,37.321064150269265,15.663390072910536,18.317155481491927,22.028123339786426,1.2233181342617776,-12.195764519880282,32.19092551071063
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,2,1,2,26,0.35595420396608735,45.69976365116429,36.33461999999998,14.534239621446776,17.633525523187593,21.20599323036431,1.2707446641419542,-16.688093846153848,29.820270000000022
direct_BMPDM_all_features,RF_fixed_selected_params,2,1,2,26,0.3142419417853177,47.15644300180655,36.95706846153847,14.75882730481013,18.195593911652796,21.881933978861905,1.2314909080407253,-15.689691538461526,28.902470000000022
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,2,1,2,26,0.3109458714542792,47.269634986998255,37.677225801550584,14.746786181887913,18.239269712147827,21.93445828708435,1.2285419768576307,-22.475142756833574,32.42919049274086
direct_BMPDM_all_features,GradientBoosting_fixed,2,1,2,26,0.16265902022668266,52.10828169536596,41.55499215104712,16.259156851417636,20.106290313850998,24.179728309157124,1.1144625944829403,-26.415113102590524,32.79809073071736
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,2,1,2,26,0.36934699264693927,45.22210923045958,37.0524357692308,14.488562943157568,17.449219724955192,20.98434796127199,1.2841667892206645,-18.961155769230878,42.676764999999946
direct_BMPDM_all_features,ExtraTrees_fixed,2,1,2,26,0.3412174222402744,46.219647797887475,36.46956038461539,14.593625405837171,17.83412591229071,21.447234296294955,1.2564511756171308,-18.486899615384633,38.96203999999999
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,3,1,3,25,0.8016222002442237,26.625564027537138,21.015863790026174,9.889429891323548,11.111023766419612,11.533208016779493,2.2914893804925422,2.107829535895322,15.316025247863195
direct_BMPDM_all_features,RF_nested_gridsearch,3,1,3,25,0.715333206502258,31.894859007721184,23.3658919694742,11.389002645263414,13.309935372444137,13.815671405926183,1.9129163481787335,7.033557472898378,14.319103611111132
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,3,1,3,25,0.4489500549691785,44.37596022928426,35.594151372549014,17.399201175122165,18.518381366694268,19.22202210399561,1.374893002956652,10.613235294117626,31.789117647058788
direct_BMPDM_all_features,Mean_baseline,3,1,3,25,-0.07622539884462709,62.01602134610255,51.28657411764706,25.537303279831864,25.87969540711621,26.863043119684033,0.9838134710097773,16.504490980392166,46.11845098039217
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,3,1,3,25,0.6195340705474702,36.87314387230269,29.339553395702794,13.658873362595001,15.38740653471377,15.972079993200508,1.6546513481470446,1.5749375784109054,26.7183989847141
direct_BMPDM_all_features,LinearRegression,3,1,3,25,0.5995879154496291,37.82734583758439,30.424751848496307,14.450014982660994,15.785601318615594,16.385404937011344,1.6129124544103028,3.225171940581995,22.899797942338495
