scenario_id,model,n_outer_folds,n_repeated_predictions,n_unique_rows,R2_fold_mean,R2_fold_sd,R2_fold_ci_low,R2_fold_ci_high,R2_pooled_repeated,R2_row_mean_prediction,RMSE_fold_mean,RMSE_fold_sd,RMSE_fold_ci_low,RMSE_fold_ci_high,RMSE_pooled_repeated,RMSE_row_mean_prediction,MAE_fold_mean,MAE_fold_sd,MAE_fold_ci_low,MAE_fold_ci_high,MAE_pooled_repeated,MAE_row_mean_prediction,MAPE_pct_fold_mean,MAPE_pct_fold_sd,MAPE_pct_fold_ci_low,MAPE_pct_fold_ci_high,MAPE_pct_pooled_repeated,MAPE_pct_row_mean_prediction,nRMSE_mean_pct_fold_mean,nRMSE_mean_pct_fold_sd,nRMSE_mean_pct_fold_ci_low,nRMSE_mean_pct_fold_ci_high,nRMSE_mean_pct_pooled_repeated,nRMSE_mean_pct_row_mean_prediction,nRMSE_range_pct_fold_mean,nRMSE_range_pct_fold_sd,nRMSE_range_pct_fold_ci_low,nRMSE_range_pct_fold_ci_high,nRMSE_range_pct_pooled_repeated,nRMSE_range_pct_row_mean_prediction,RPD_fold_mean,RPD_fold_sd,RPD_fold_ci_low,RPD_fold_ci_high,RPD_pooled_repeated,RPD_row_mean_prediction,bias_pred_minus_obs_fold_mean,bias_pred_minus_obs_fold_sd,bias_pred_minus_obs_fold_ci_low,bias_pred_minus_obs_fold_ci_high,bias_pred_minus_obs_pooled_repeated,bias_pred_minus_obs_row_mean_prediction
A_BMP_VS_all_features,RF_fixed_selected_params,50,1270,127,0.3781071764701644,0.12343953851555353,0.12494511770302758,0.5679532198009737,0.40687488723784526,0.43034521254176683,48.90840589868819,8.231381467262068,35.79681531658075,64.26455150453532,49.55704404932851,48.566646146730506,37.245441907692296,6.458087066951785,26.663475999999978,49.35910946153846,37.2306188976378,36.3730409448819,16.024204408947,5.246271393606595,9.8583870636024,27.979223734516214,15.998192636154215,15.701228949123772,17.47545230730246,3.056902266295128,12.642186074629485,24.285846785367628,17.67563195410081,17.32238431493552,18.47464808623595,2.1025641855351305,15.012152010705794,22.092503387918352,12.448390868959686,12.199609682675336,1.3126202420978899,0.1308389718790353,1.0903811780250388,1.5518968023919442,1.298966327670071,1.33018091405092,1.3156107692307806,10.945193158641889,-18.646648076923068,21.485172769230793,1.2338629921259956,1.2338629921259978
A_BMP_VS_all_features,RF_nested_gridsearch,50,1270,127,0.3774964970957281,0.13700302029152342,0.0691399920863968,0.6090370013521003,0.4057250125185803,0.4282469996587014,48.892654405741226,8.572261319195333,32.053918472018665,62.46007303051044,49.60505820277106,48.65600684566326,37.251892596870206,6.775657818220465,24.540422385933866,48.77383047789409,37.245525881022616,36.51654619284113,15.992432627173716,5.20534946948791,9.951037568197211,28.13866544589123,15.970377394505613,15.717048822120525,17.46119025783924,3.126567944189034,11.707650982131423,23.64757143896251,17.69275727949337,17.35425681370531,18.470723205692256,2.39164236880206,14.392802756788896,23.17863448864759,12.460451696249955,12.222056479694366,1.3170013833716347,0.1500764672826066,1.057959071234494,1.6323450843399048,1.297709021039797,1.3277379290241451,0.8770643075604554,10.998262155995066,-19.832366195549763,21.527140908416797,0.7962662239137966,0.7962662239137965
A_BMP_VS_all_features,GradientBoosting_fixed,50,1270,127,0.36421803659313995,0.1657190660606524,0.03559933983524259,0.5893543128132513,0.40983988777035185,0.4463952911720386,48.950928493441936,7.112823823155075,36.53510941289508,60.20109273297395,49.43302236202341,47.877572819499186,37.58060045921,5.900879243466955,27.272545164131614,48.193681199429385,37.56255392924396,36.39590625272072,16.073759379222516,4.877758791519334,10.491008734654633,27.25733191308345,16.04731826114118,15.609273576489318,17.481303029716475,2.588638357809565,12.820362795210041,22.284031223219483,17.631396835941835,17.07661084811202,18.60418663209323,2.5344347991738663,14.534917059475534,23.140992524236147,12.417237468481138,12.026519170936748,1.3112117108125374,0.16820929601479956,1.0394342236680478,1.5922153059285575,1.3022252826765104,1.3493254139552961,1.0268508003187433,11.026684646091073,-18.935909628905463,21.57325620891949,0.943730894360597,0.9437308943605981
A_BMP_VS_all_features,ExtraTrees_fixed,50,1270,127,0.3462160320280252,0.16660428990966947,-0.016985525700966446,0.5657094312599246,0.3851229125015989,0.41231523862635266,49.8320795741205,8.163778507910278,35.69331404408389,63.56996856126372,50.45757713059323,49.32924319127007,37.753671692307705,6.428125893225727,26.94121100000002,48.41488599999997,37.735411023622056,36.80087716535432,16.128549742089742,4.964735945075123,10.346187698656335,27.099895668193092,16.10312865933666,15.776770526218757,17.793219593819895,2.942626568792759,12.599141834712592,22.881805988382744,17.996827287928294,17.59438166560779,18.85595147234306,2.335531149150728,15.158710293674902,23.398069377530355,12.67459862612239,12.391168849854326,1.2910027415414198,0.15864409250591435,1.0123242700922621,1.5477678882809833,1.2757832456428009,1.309617208465068,1.3363804923076645,10.608129612650004,-19.544600461538508,20.741437846153797,1.2689874015747753,1.268987401574777
A_BMP_VS_all_features,Ridge_alpha_1,50,1270,127,0.16783977873288045,0.19614524806011663,-0.24402301282888617,0.4587194500584011,0.21785006673294027,0.23771163446125643,56.26612983910033,8.751628849840005,41.34394440951204,73.04697198771295,56.90851381997849,56.18131282784288,44.08845769176351,7.146692094473944,32.727849362376745,58.3520491895392,44.07658546978073,43.589849115291806,18.349258482301508,4.8704999755371645,12.640915194464593,32.02754668727813,18.32883927434378,18.14889525817116,20.09654176724818,3.192310089599045,14.996037880583508,27.248489781123304,20.297698634638984,20.038326080439596,21.328944927570422,2.546881412709224,15.701031885574979,24.765948764323866,14.295029846766766,14.112361926109743,1.13958075291333,0.12625070213412867,0.9148371778235974,1.3882439458286207,1.1311652193654935,1.1498917079742799,-0.1769015045150361,12.312231506263602,-19.680105013732682,22.306267149579234,-0.23803964466891311,-0.23803964466891492
A_BMP_VS_all_features,LinearRegression,50,1270,127,0.1535618563184782,0.20275253586656747,-0.21177756711770568,0.5066366637619574,0.2047665178839292,0.23584752642556728,56.727440101032954,8.857093448478116,44.08821265096372,71.69073449603667,57.38251333783084,56.24996407180282,44.312449770712135,7.174626363861921,34.1848172502319,57.59926383584303,44.301968146308994,43.74860524453072,18.134367127002786,4.479966570897443,13.107362493358675,29.354168361556106,18.117842089370246,17.801180069838548,20.265563615837934,3.260211923031727,15.89713885911163,26.48319313732557,20.466761200510337,20.062812087317234,21.519376730587116,2.686726777648306,15.313144565684299,25.853692178991572,14.4140952870713,14.129606649536003,1.1308896437078992,0.13058353152742067,0.927013344769251,1.455585933617181,1.1218214012334093,1.148488302701507,-0.7049100777166806,12.213157620239842,-20.64471077717238,23.868758703389965,-0.7591563188328703,-0.7591563188328682
A_BMP_VS_all_features,Mean_baseline,50,1270,127,-0.04618594104639768,0.06212617590084512,-0.2275778765504191,-0.000109359537500009,-0.015747018303980287,-0.014225409938979361,63.99842567798655,10.850853624061251,45.741702098539406,82.50197520052454,64.85224516537866,64.80365201143168,48.85858510281796,8.331984386015241,34.787389196272564,63.60537532592625,48.841091837530215,48.77511052054719,21.169182098549314,6.950414201752099,13.216868187112166,36.93386692878884,21.13674383556671,21.113237850066994,22.87598275380965,4.052554587517715,16.20475945020123,31.0234512553987,23.13100869776108,23.113676858844283,24.1133361242968,2.153549853116726,20.20705804604845,28.853768951411816,16.290440885551032,16.27823461729005,0.9987076773764986,0.027482082251591683,0.9212557894825705,1.020266005079204,0.9926091433655662,0.9968948316747549,0.06468016188045493,13.665580824876498,-22.80652592700443,26.344894117647055,-0.0217789604342415,-0.021778960434242732
B_BMP_DM_no_DM_VS,RF_nested_gridsearch,50,1270,127,0.42301440161413806,0.18566250677667945,0.10958164816707683,0.7061695391974637,0.44638448997653,0.46723026268904644,49.230365240209494,9.799351356795036,29.533512040008265,66.9012508295397,50.13809143522872,49.18508741051073,36.524581759330125,7.539184039969649,23.06979221676116,50.13023313229664,36.49831653975245,35.715015529983916,19.698184256104355,9.798069351572355,9.572329301074586,41.604618245664376,19.647595987253784,19.310852261496553,19.51241147367996,3.9458361866065297,11.728773441934552,26.26052770339672,19.826240684170948,19.44939173308051,18.637401010037696,3.5771569929121525,13.431709572276162,25.17384618259147,13.144355219202062,12.894512772717931,1.3961210673030757,0.23083697052010063,1.0809324621153842,1.882599916002592,1.344518941916596,1.37545635432545,1.597603467245732,11.307714490440643,-18.522768929888297,18.536669818644118,1.5290054975012402,1.5290054975012397
B_BMP_DM_no_DM_VS,RF_fixed_selected_params,50,1270,127,0.40341539733844306,0.19191597425613577,0.011362778494532506,0.6796535752574902,0.4313753309193509,0.4571121244286319,49.98262487964537,9.518188031630128,30.308917525394055,67.95116512625262,50.81319723665283,49.649941933861655,37.41949640923077,7.508025876247409,24.50578563461539,50.87049520461538,37.39011688188977,36.55427237795276,19.720274145110974,9.119786100931481,9.62670809049851,41.305263679162245,19.671887833244803,19.301375517885113,19.809736117518284,3.82571308169932,11.82770419239473,26.90327044240628,20.09319959152397,19.633210410642,18.963023813751075,3.6289966915225285,12.842631157496937,26.255119552423796,13.321343018506832,13.016380454659332,1.372325281852561,0.2256234965780503,1.0261433632435597,1.8039267361605904,1.326655619252897,1.3625784518934256,2.00409767446155,11.66598982087587,-21.696930859999974,21.434499240000022,1.9346907716535549,1.9346907716535533
B_BMP_DM_no_DM_VS,Ridge_alpha_1,50,1270,127,0.39378713572014595,0.18164332981475795,0.06261419061101994,0.6524512854554697,0.4269143869904105,0.43922142051928925,50.35855975664379,8.33894748998203,35.686262138372605,65.01375457832758,51.012126334427,50.461410028904055,38.91149132705322,6.3497095925634595,27.362245855371636,49.28402725771829,38.902832220416386,38.60527363779016,18.711482560474767,5.288105846995036,11.667536060735054,32.35892790556779,18.690652941766945,18.526513738509813,19.951054375676925,3.325976657278189,14.003771612310743,25.8781866743639,20.171862661031724,19.954091427435795,19.17614348052324,3.416935632440919,12.489011212727469,24.884980235491156,13.373494878494501,13.229117409436835,1.3519676942444756,0.19736244487005442,1.054191217446698,1.731101937024789,1.3214821355273834,1.340666877482991,-0.274347998546748,10.507075870715907,-19.63777334596229,20.19011808466042,-0.3202474350251432,-0.32024743502514535
