scenario_id,model,n,mean_residual_obs_minus_pred,sd_residual,q025,q05,median,q95,q975,max_abs_residual
A_BMP_VS_all_features,ExtraTrees_fixed,127,-1.268987401574777,49.50821768482737,-112.77066999999992,-82.29953999999995,-0.5912999999999897,78.40238999999998,94.23446000000007,158.67230000000006
A_BMP_VS_all_features,GradientBoosting_fixed,127,-0.9437308943605981,48.057848869865715,-100.06859961254779,-73.53220751493004,1.953308173297387,75.27334488065712,95.07207176793358,167.95605205394304
A_BMP_VS_all_features,LinearRegression,127,0.7591563188328682,56.46759372305422,-113.65885408629532,-94.53989287939473,-2.922737926277648,91.33649758386288,118.98816365896182,165.9425944749176
A_BMP_VS_all_features,Mean_baseline,127,0.021778960434242732,65.06029746840485,-112.2273261502621,-106.40343079013789,2.619976703552709,110.94728324597156,126.86734401087165,219.67305474665116
A_BMP_VS_all_features,RF_fixed_selected_params,127,-1.2338629921259978,48.743251947077944,-103.12113,-78.21464000000002,1.011600000000044,70.80795999999998,97.61939999999994,166.58160000000004
A_BMP_VS_all_features,RF_nested_gridsearch,127,-0.7962662239137965,48.8421628786525,-105.58923762480475,-73.75563785602799,2.225143744318359,71.02816570268388,99.68360533977437,165.47888710066763
A_BMP_VS_all_features,Ridge_alpha_1,127,0.23803964466891492,56.403307662198465,-116.53613270393615,-102.23960010782994,-0.2659970200658677,81.33689442993523,122.55074711378332,168.07190784281966
B_BMP_DM_no_DM_VS,ExtraTrees_fixed,127,-2.1852901496063186,51.552437128409615,-116.07773819999983,-85.95434970000002,0.09981499999997823,69.33606759999986,97.98934684999993,164.5052970000001
B_BMP_DM_no_DM_VS,GradientBoosting_fixed,127,-1.085151346570652,50.8516314712649,-93.61287591309515,-80.48482184471962,-1.2387472169265266,80.20250891050284,102.86799414477822,147.85409346830272
B_BMP_DM_no_DM_VS,LinearRegression,127,0.33417038751658507,50.749999330478914,-104.98563117599126,-90.76794377738044,-2.518522789274982,92.1685983495972,102.40798336742334,158.2274389737348
B_BMP_DM_no_DM_VS,Mean_baseline,127,0.022466157782974693,68.18185959599522,-119.94527991457967,-112.53980719763155,9.950369588429396,112.869089083673,120.68937661861769,226.5653835080567
B_BMP_DM_no_DM_VS,RF_fixed_selected_params,127,-1.9346907716535533,49.808718289106245,-115.33215290000004,-78.02430659999999,-0.374007999999975,81.78196280000003,89.9014721,155.95591199999993
B_BMP_DM_no_DM_VS,RF_nested_gridsearch,127,-1.5290054975012397,49.356014787006885,-111.95270320778585,-77.45941209064326,-1.9188621975301032,81.9083814052669,94.36008111116723,150.8723900581706
B_BMP_DM_no_DM_VS,Ridge_alpha_1,127,0.32024743502514535,50.66023773812202,-104.92658870039246,-90.83844560246544,-2.617700154917884,92.33451845277501,101.93662594694649,158.25022948189516
C_BMP_DM_all_features,ExtraTrees_fixed,127,-1.6333641811023851,44.489458330688265,-102.73937890000003,-82.08763660000002,0.3216990000000237,64.02128100000004,93.84537649999989,149.79516300000006
C_BMP_DM_all_features,GradientBoosting_fixed,127,-1.0825250305403518,42.76121737061015,-88.85242853268716,-67.16990403807092,1.233506033913386,60.88408582822301,81.66564532402565,136.26434562525353
C_BMP_DM_all_features,LinearRegression,127,1.0877447342140785,49.78625040419178,-104.05782649186409,-85.23822322978252,-1.2058371718968033,82.56480960566175,100.07016099252255,149.4441985300246
C_BMP_DM_all_features,Mean_baseline,127,0.022466157782974693,68.18185959599522,-119.94527991457967,-112.53980719763155,9.950369588429396,112.869089083673,120.68937661861769,226.5653835080567
C_BMP_DM_all_features,RF_fixed_selected_params,127,-1.6456699527559153,44.00893864020992,-95.86002760000001,-68.08028759999998,0.6331040000000598,64.60326699999999,83.14135169999989,140.92306
C_BMP_DM_all_features,RF_nested_gridsearch,127,-1.5394878689188944,44.54449024982378,-98.17715360777021,-70.54848534577782,0.7546765595082547,67.02783252594585,86.9269010492405,147.63561421962171
C_BMP_DM_all_features,Ridge_alpha_1,127,0.5967217104879674,49.06280679698001,-105.17189748419209,-82.8358613220917,-0.5686435807966177,81.02533040221975,96.77071683590879,150.21628634988429
D1_BMP_DM_no_DM,ExtraTrees_fixed,127,-1.9690967480315131,46.58489367746564,-105.82144134999999,-90.13198999999999,1.2675430000000176,65.54058380000001,91.13825919999984,155.25216800000007
D1_BMP_DM_no_DM,GradientBoosting_fixed,127,-0.9919847253959996,42.91420601677358,-94.70659441055632,-66.67614355774107,1.6004579992255117,61.82718260858569,85.43699581298618,133.3064627592011
D1_BMP_DM_no_DM,LinearRegression,127,0.5052405166734509,49.12305774021876,-105.42175958944388,-81.77488518415007,-0.8885190271287229,79.49249116553852,98.727119896159,150.73710634689667
D1_BMP_DM_no_DM,Mean_baseline,127,0.022466157782974693,68.18185959599522,-119.94527991457967,-112.53980719763155,9.950369588429396,112.869089083673,120.68937661861769,226.5653835080567
D1_BMP_DM_no_DM,RF_fixed_selected_params,127,-1.6524052755905614,45.78527242550107,-106.6355312,-73.04527160000002,-0.2551180000000386,69.60167219999994,92.92437769999992,142.04091000000003
D1_BMP_DM_no_DM,RF_nested_gridsearch,127,-1.4976204348185662,45.5663052330911,-105.65029439608031,-73.95025654605593,-0.29856438614581293,68.00361017716324,91.90775042517635,143.45026467397878
D1_BMP_DM_no_DM,Ridge_alpha_1,127,0.49273678306067475,49.042963215577814,-105.08302603114808,-81.95210715090899,-0.6333285527071553,79.84805441816886,98.3986826728518,150.83322582229766
