scenario_id,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
A_BMP_VS_all_features,ExtraTrees_fixed,1,1,1,26.0,0.4377348847921496,61.28515685898809,45.967923076923086,26.888222645966536,22.355548548370987,17.85698043676809,1.3600225209246413,13.033923076923088,33.14799999999988
A_BMP_VS_all_features,ExtraTrees_fixed,2,1,2,26.0,0.2064171096573435,50.79651184004067,41.585653846153875,14.488562943157568,17.468082424128156,21.904489797343974,1.144776015217339,-21.799576923077037,48.51149999999994
A_BMP_VS_all_features,ExtraTrees_fixed,3,1,3,25.0,0.4263011811351355,38.03550419437083,29.087720000000036,11.694332758156353,14.17901980017701,19.161463070212008,1.3474802411442415,3.6158800000000006,19.212999999999994
A_BMP_VS_all_features,ExtraTrees_fixed,4,1,4,25.0,0.2752973780481427,64.95273742776357,48.45975999999996,19.39410444183015,22.674594851482794,21.70880261623114,1.1989041601592518,12.190399999999919,36.79999999999973
A_BMP_VS_all_features,ExtraTrees_fixed,5,1,5,25.0,0.14417576422530476,41.60326742937387,31.340880000000016,11.68218058979015,14.751048599956698,18.622769663999048,1.103245317898591,-1.8558399999999926,27.96300000000042
A_BMP_VS_all_features,ExtraTrees_fixed,6,2,1,26.0,0.5369037344761902,37.560531974810594,31.515,11.617271704357151,13.295763530906402,16.120399989189096,1.498583788882288,-1.58661538461535,29.07599999999988
A_BMP_VS_all_features,ExtraTrees_fixed,7,2,2,26.0,0.29530686551196317,50.55893191194729,39.39330769230768,13.737831874788997,17.305357087329412,21.64337838696374,1.2148331923922822,-8.87961538461537,29.97100000000009
A_BMP_VS_all_features,ExtraTrees_fixed,8,2,3,25.0,-0.03118779976820507,52.228591176098156,35.66663999999992,15.500756452920095,18.919015581929614,24.371717767661295,1.0050681262473875,20.315039999999925,13.560999999999694
A_BMP_VS_all_features,ExtraTrees_fixed,9,2,4,25.0,0.3770709025605421,51.076706144777965,34.682999999999986,13.396260523779072,18.198264905432026,17.76581083296625,1.2931385975651115,-5.695560000000053,21.133000000000095
A_BMP_VS_all_features,ExtraTrees_fixed,10,2,5,25.0,0.43168269414475813,62.995185081718745,46.30452,27.161349126258866,23.340194546765,17.05337982721136,1.353844992603129,8.67379999999996,30.417999999999893
A_BMP_VS_all_features,ExtraTrees_fixed,11,3,1,26.0,0.3789714659791452,35.62202880187401,28.859730769230808,10.027449523273404,12.173989180166728,17.695990462927973,1.2940793056059345,-10.698038461538506,25.28649999999999
A_BMP_VS_all_features,ExtraTrees_fixed,12,3,2,26.0,0.40374246251905177,55.052731145833086,42.420923076922996,16.03148228359019,18.605181191562377,19.24247855499234,1.3206864697619773,-14.820615384615431,27.07549999999975
A_BMP_VS_all_features,ExtraTrees_fixed,13,3,3,25.0,0.4460613053556729,53.8258389452501,43.51008000000002,16.350471627177086,18.83919434439229,18.289445784998335,1.3713033338522196,7.264159999999962,37.63000000000011
A_BMP_VS_all_features,ExtraTrees_fixed,14,3,4,25.0,0.5376281690426619,33.48494740685725,24.65579999999997,10.75127480974519,12.611082934188481,17.32278707028311,1.500958551888582,11.134119999999955,21.44599999999997
A_BMP_VS_all_features,ExtraTrees_fixed,15,3,5,25.0,0.27374741832623095,59.877608519044934,48.110120000000016,26.326763397400256,22.941964060385956,17.446855629092347,1.1976241332577944,15.164279999999987,38.39200000000011
A_BMP_VS_all_features,ExtraTrees_fixed,16,4,1,26.0,-0.05917847351639005,50.1970707940981,33.98776923076923,13.434439006937987,18.1297416325853,20.54730691530827,0.99090517565046,-1.9329230769230792,17.365500000000168
A_BMP_VS_all_features,ExtraTrees_fixed,17,4,2,26.0,0.29177817939252126,41.198054703888886,29.219769230769284,10.743003774285247,14.347993065449216,20.41528974424623,1.2118029849769858,-0.47415384615392714,18.37050000000022
A_BMP_VS_all_features,ExtraTrees_fixed,18,4,3,25.0,0.40998213295097663,55.79805830958638,40.92112000000006,24.23614410753734,20.754808851819785,15.72219169050053,1.3287148899586585,9.57031999999999,28.37799999999993
A_BMP_VS_all_features,ExtraTrees_fixed,19,4,4,25.0,0.23828443281248324,63.736841184357424,49.26848000000002,17.775434292553605,20.53271776724055,19.355250891089412,1.1694131355858164,-13.626560000000005,35.32499999999999
A_BMP_VS_all_features,ExtraTrees_fixed,20,4,5,25.0,0.4593450873888325,45.807671151456695,38.733759999999975,16.32868830661528,17.72440882800789,19.753200151555284,1.3880474311940252,8.86223999999996,38.909000000000106
A_BMP_VS_all_features,ExtraTrees_fixed,21,5,1,26.0,0.5285258560221181,53.77955989714653,41.88134615384619,21.307639298826533,18.990473412003393,15.153440376767128,1.4852095370365295,-5.757269230769214,32.51599999999996
A_BMP_VS_all_features,ExtraTrees_fixed,22,5,2,26.0,0.44566612031528685,46.99139084735869,34.94830769230768,16.816994910788708,17.52454404933196,19.227246664222047,1.3697173545465766,20.865230769230728,24.38250000000008
A_BMP_VS_all_features,ExtraTrees_fixed,23,5,3,25.0,0.03193341830841101,46.32131496838146,36.05432000000002,13.776512888825406,16.297238473472515,20.459944774020077,1.0373176544468303,-0.5335200000000703,28.447000000000287
A_BMP_VS_all_features,ExtraTrees_fixed,24,5,4,25.0,0.5010210970077691,43.090049800853116,34.07168000000001,11.438470225487471,14.918311106790306,18.718527280996142,1.444851760783243,-10.551760000000048,31.781999999999925
A_BMP_VS_all_features,ExtraTrees_fixed,25,5,5,25.0,0.0892358898458856,62.70557550648906,48.26032000000001,18.760794821524517,22.5709014262998,20.957745824361318,1.069452325831737,-2.305839999999995,26.549000000000206
